algo_id,algo_name
1,二分探索
2,幅優先探索
3,深さ優先探索
4,動的計画法
5,トポロジカルソート
6,貪欲法
7,尺取り法
8,三分探索
9,累積和
10,クラスカル法
11,ダイクストラ法
12,ワーシャルフロイド法
