problem_id,algo_id
abc007_3, 2
abc088_d, 2
abc270_c, 2
abc284_c, 2
abc287_c, 2
abc288_c, 2
abc146_d, 2
abc151_d, 2
abc160_d, 2
abc168_d, 2
abc176_d, 2
abc209_d, 2
abc211_d, 2
abc224_d, 2
abc272_d, 2
dfs_a, 3
abc029_c, 3
abc054_c, 3
abc059_c, 3
abc104_c, 3
abc114_c, 3
abc119_c, 3
abc204_c, 3
abc233_c, 3
abc256_c, 3
abc270_c, 3
abc284_c, 3
abc287_c, 3
abc288_c, 3
abc138_d, 3
abc209_d, 3
abc213_d, 3
abc236_d, 3
abc268_d, 3
abc020_c, 1
abc030_c, 1
arc084_a, 1
abc146_c, 1
abc172_c, 1
abc231_c, 1
abc271_c, 1
abc023_d, 1
abc026_d, 1
abc034_d, 1
abc119_d, 1
abc124_d, 1
abc143_d, 1
abc203_d, 1
abc205_d, 1
abc227_d, 1
abc229_d, 1
abc246_d, 1
abc248_d, 1
abc257_d, 1
